BOOT: COLD start (reason=no_marker)
============================================================
  WARRIOR BOT — SUB-BOT (IBKR data + Alpaca exec hybrid)
  Data:    IB Gateway port 4002 clientId=2
  Exec:    AlpacaBroker (paper=true)
  State:   session_state_alpaca/
  Cache:   tick_cache_alpaca/
  Squeeze: OFF
  MP: OFF
  MP V2 (Re-Entry): OFF
  Short: OFF
  Max entries/day: unlimited
  Buying power: 50% of 2x margin
  Port: 4002
  Risk: 3.5% per trade
  Starting Equity: $30,000
  Max Daily Loss: $3,000 (2% of equity, scaling)
  Windows: 04:00-20:00
  SQ Target R: 1.5
  WB notional cap (at starting equity $30,000): effective=$30,000 (equity_cap=$30,000, floor=$10,000, ceiling=$50,000)
  WB pyramid: OFF
============================================================
⚠️  WARNING: WB_SQUEEZE_ENABLED is OFF — bot will not trade squeezes!
  Set WB_SQUEEZE_ENABLED=1 in .env or environment to enable.

Pre-flight port check:
  Port 4002: IN USE
  Port 7497: free
  Watchdog: armed (kills bot if main thread frozen >120s)
Alpaca connected (PAPER)
📦 Tick flush thread started (every 30s)
📊 Risk flush thread started (every 60s)
Connected: True
Account: ['DUQ143444']
Broker: ALPACA
  Position sync: No open positions at broker. Clean start.
Account equity: $28,321
EPL initialized: 1 strategies registered

Bot running. Windows: 04:00-20:00 ET. Ctrl+C to stop.
[04:01:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
  SESSION SUMMARY
  Momentum Trades: 0
  Momentum P&L: $+0
============================================================
BOOT: RESUME mode (marker age=30870s, reason=marker_present)
============================================================
  WARRIOR BOT — SUB-BOT (IBKR data + Alpaca exec hybrid)
  Data:    IB Gateway port 4002 clientId=2
  Exec:    AlpacaBroker (paper=true)
  State:   session_state_alpaca/
  Cache:   tick_cache_alpaca/
  Squeeze: OFF
  MP: OFF
  MP V2 (Re-Entry): OFF
  Short: OFF
  Max entries/day: unlimited
  Buying power: 50% of 2x margin
  Port: 4002
  Risk: 3.5% per trade
  Starting Equity: $30,000
  Max Daily Loss: $3,000 (2% of equity, scaling)
  Windows: 04:00-20:00
  SQ Target R: 1.5
  WB notional cap (at starting equity $30,000): effective=$30,000 (equity_cap=$30,000, floor=$10,000, ceiling=$50,000)
  WB pyramid: OFF
============================================================
⚠️  WARNING: WB_SQUEEZE_ENABLED is OFF — bot will not trade squeezes!
  Set WB_SQUEEZE_ENABLED=1 in .env or environment to enable.

Pre-flight port check:
  Port 4002: IN USE
  Port 7497: free
  Watchdog: armed (kills bot if main thread frozen >120s)
Alpaca connected (PAPER)
📦 Tick flush thread started (every 30s)
📊 Risk flush thread started (every 60s)
Connected: True
Account: ['DUQ143444']
Broker: ALPACA
🔁 RESUME: reconciling orders + positions
  RESUME: risk restored — daily_pnl=$+0.00 trades=0 losses=0 (closed_trades=0 cached)
🔁 RESUME: reconcile complete
Account equity: $28,312
EPL initialized: 1 strategies registered

Bot running. Windows: 04:00-20:00 ET. Ctrl+C to stop.
[12:36:00 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols
[12:36:01 ET] ACTIVE | flat | daily=$+0 (0t) | conn=OK | ticks=0 | no symbols

📡 Sub-bot: 4 new symbols from main bot's watchlist: ['LESL', 'LNKS', 'MOBX', 'QUCY']
  Tick cache: LESL → +255 ticks (total 255)
📦 Tick cache saved: 1 symbols → tick_cache_alpaca/2026-05-14/
  Tick cache: LESL → +303 ticks (total 558)
📦 Tick cache saved: 1 symbols → tick_cache_alpaca/2026-05-14/
  Tick cache: LESL → +370 ticks (total 928)
📦 Tick cache saved: 1 symbols → tick_cache_alpaca/2026-05-14/
  Tick cache: LESL → +332 ticks (total 1,260)
📦 Tick cache saved: 1 symbols → tick_cache_alpaca/2026-05-14/
[WB] [12:38 ET] LESL WB_DOWNWAVE: wave_id=1 score=4 (< 7, no arm)
[WB] [12:38 ET] LESL WB_OBSERVE: wave_id=2 dir=up mag=3.12%
[WB] [12:38 ET] LESL WB_OBSERVE: wave_id=3 dir=up mag=1.84%
[WB] [12:38 ET] LESL WB_DOWNWAVE: wave_id=4 score=1 (< 7, no arm)
[WB] [12:38 ET] LESL WB_DOWNWAVE: wave_id=5 score=4 (< 7, no arm)
[WB] [12:38 ET] LESL WB_DOWNWAVE: wave_id=6 score=6 (< 7, no arm)
[WB] [12:38 ET] LESL WB_OBSERVE: wave_id=7 dir=up mag=2.47%
[WB] [12:38 ET] LESL WB_DOWNWAVE: wave_id=8 score=4 (< 7, no arm)
[WB] [12:38 ET] LESL WB_DOWNWAVE: wave_id=9 score=5 (< 7, no arm)
[WB] [12:38 ET] LESL WB_DOWNWAVE: wave_id=10 score=4 (< 7, no arm)
[WB] [12:38 ET] LESL WB_OBSERVE: wave_id=11 dir=up mag=2.20%
[WB] [12:38 ET] LESL WB_DOWNWAVE: wave_id=12 score=5 (< 7, no arm)
[WB] [12:38 ET] LESL WB_OBSERVE: wave_id=13 dir=up mag=1.21%
[WB] [12:38 ET] LESL WB_OBSERVE: wave_id=14 dir=up mag=4.38%
[WB] [12:38 ET] LESL WB_DOWNWAVE: wave_id=15 score=3 (< 7, no arm)
[WB] [12:38 ET] LESL WB_DOWNWAVE: wave_id=16 score=3 (< 7, no arm)
[WB] [12:38 ET] LESL WB_DOWNWAVE: wave_id=17 score=3 (< 7, no arm)
[WB] [12:38 ET] LESL WB_OBSERVE: wave_id=18 dir=up mag=6.41%
[WB] [12:38 ET] LESL WB_DOWNWAVE: wave_id=19 score=4 (< 7, no arm)
[WB] [12:38 ET] LESL WB_OBSERVE: wave_id=20 dir=up mag=3.11%
[WB] [12:38 ET] LESL WB_DOWNWAVE: wave_id=21 score=4 (< 7, no arm)
[WB] [12:38 ET] LESL WB_OBSERVE: wave_id=22 dir=up mag=1.24%
[WB] [12:38 ET] LESL WB_OBSERVE: wave_id=23 dir=up mag=3.09%
[WB] [12:38 ET] LESL WB_OBSERVE: wave_id=24 dir=up mag=2.30%
[WB] [12:38 ET] LESL WB_OBSERVE: wave_id=25 dir=up mag=3.43%
[WB] [12:38 ET] LESL WB_DOWNWAVE: wave_id=26 score=2 (< 7, no arm)
[WB] [12:38 ET] LESL WB_OBSERVE: wave_id=27 dir=up mag=1.62%
[WB] [12:38 ET] LESL WB_OBSERVE: wave_id=28 dir=up mag=2.75%
[WB] [12:38 ET] LESL WB_OBSERVE: wave_id=29 dir=up mag=1.01%
[WB] [12:38 ET] LESL WB_DOWNWAVE: wave_id=30 score=1 (< 7, no arm)
[WB] [12:38 ET] LESL WB_OBSERVE: wave_id=31 dir=up mag=1.10%
[WB] [12:38 ET] LESL WB_OBSERVE: wave_id=32 dir=up mag=1.09%
[WB] [12:38 ET] LESL WB_OBSERVE: wave_id=33 dir=up mag=3.36%
🔥 Seeded LESL: 50974 ticks → 0 bars (50974 ticks/bar avg)
✅ Subscribed: LESL
  Tick cache: LESL → +51,314 ticks (total 52,574)
  Tick cache: LNKS → +34 ticks (total 34)
📦 Tick cache saved: 2 symbols → tick_cache_alpaca/2026-05-14/
  Tick cache: LESL → +369 ticks (total 52,943)
  Tick cache: LNKS → +34 ticks (total 68)
📦 Tick cache saved: 2 symbols → tick_cache_alpaca/2026-05-14/
  Tick cache: LESL → +339 ticks (total 53,282)
  Tick cache: LNKS → +22 ticks (total 90)
📦 Tick cache saved: 2 symbols → tick_cache_alpaca/2026-05-14/
[12:40 ET] LESL CHART | O=4.26 H=4.28 L=4.11 C=4.21 V=130,992 | EMA9=none VWAP=2.65 (+59.1%) HOD=4.50 PM_H=1.99 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=2.08 H=2.08 L=2.06 C=2.06 V=5,592 | EMA9=none VWAP=2.07 (-0.3%) HOD=2.09 PM_H=-inf | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
  Tick cache: LESL → +321 ticks (total 53,603)
  Tick cache: LNKS → +27 ticks (total 117)
📦 Tick cache saved: 2 symbols → tick_cache_alpaca/2026-05-14/
  [SEED] LNKS: 50864 ticks so far, jumping to recent 90min for full context
[12:40 ET] LNKS CHART | O=2.07 H=2.09 L=2.06 C=2.09 V=3,538 | EMA9=none VWAP=2.07 (+1.1%) HOD=2.09 PM_H=2.06 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=2.06 H=2.18 L=1.85 C=1.92 V=480,791 | EMA9=none VWAP=2.00 (-4.2%) HOD=2.18 PM_H=2.18 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.89 H=2.06 L=1.86 C=1.86 V=38,665 | EMA9=none VWAP=2.00 (-7.0%) HOD=2.18 PM_H=2.18 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.89 H=1.98 L=1.85 C=1.90 V=16,544 | EMA9=none VWAP=2.00 (-4.9%) HOD=2.18 PM_H=2.18 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.91 H=1.93 L=1.87 C=1.88 V=25,266 | EMA9=none VWAP=1.99 (-5.6%) HOD=2.18 PM_H=2.18 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.87 H=1.91 L=1.86 C=1.86 V=7,368 | EMA9=none VWAP=1.99 (-6.6%) HOD=2.18 PM_H=2.18 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.89 H=1.90 L=1.86 C=1.86 V=9,841 | EMA9=none VWAP=1.99 (-6.5%) HOD=2.18 PM_H=2.18 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.86 H=1.87 L=1.74 C=1.75 V=36,387 | EMA9=none VWAP=1.98 (-11.6%) HOD=2.18 PM_H=2.18 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.81 H=1.82 L=1.76 C=1.79 V=11,202 | EMA9=none VWAP=1.98 (-9.4%) HOD=2.18 PM_H=2.18 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.79 H=2.14 L=1.78 C=1.89 V=39,797 | EMA9=none VWAP=1.98 (-4.4%) HOD=2.18 PM_H=2.18 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.90 H=2.05 L=1.87 C=1.92 V=59,806 | EMA9=none VWAP=1.98 (-2.8%) HOD=2.18 PM_H=2.18 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.94 H=2.16 L=1.84 C=2.13 V=87,669 | EMA9=none VWAP=1.98 (+7.6%) HOD=2.18 PM_H=2.18 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=2.16 H=2.33 L=2.11 C=2.21 V=225,978 | EMA9=none VWAP=2.03 (+8.7%) HOD=2.33 PM_H=2.33 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=2.21 H=2.43 L=2.18 C=2.43 V=134,220 | EMA9=none VWAP=2.06 (+17.8%) HOD=2.43 PM_H=2.43 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=2.43 H=2.47 L=2.23 C=2.26 V=187,122 | EMA9=none VWAP=2.10 (+7.5%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=2.25 H=2.27 L=2.06 C=2.18 V=203,987 | EMA9=none VWAP=2.11 (+3.4%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=2.16 H=2.23 L=2.04 C=2.10 V=161,958 | EMA9=none VWAP=2.11 (-0.5%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=2.10 H=2.17 L=2.08 C=2.14 V=48,563 | EMA9=none VWAP=2.11 (+1.4%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=2.15 H=2.16 L=2.08 C=2.16 V=44,395 | EMA9=none VWAP=2.11 (+2.3%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=2.14 H=2.16 L=2.00 C=2.06 V=99,657 | EMA9=none VWAP=2.11 (-2.3%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=2.06 H=2.17 L=2.05 C=2.13 V=81,412 | EMA9=none VWAP=2.11 (+1.0%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=2.15 H=2.15 L=2.08 C=2.09 V=28,092 | EMA9=none VWAP=2.11 (-0.9%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=2.10 H=2.10 L=1.97 C=1.97 V=90,072 | EMA9=none VWAP=2.11 (-6.5%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.97 H=2.08 L=1.97 C=2.02 V=46,216 | EMA9=none VWAP=2.10 (-4.0%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=2.03 H=2.08 L=2.01 C=2.06 V=19,544 | EMA9=none VWAP=2.10 (-2.1%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=2.08 H=2.08 L=2.00 C=2.02 V=22,091 | EMA9=none VWAP=2.10 (-4.0%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=2.01 H=2.05 L=1.99 C=2.00 V=18,213 | EMA9=none VWAP=2.10 (-4.9%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=2.01 H=2.01 L=1.93 C=1.96 V=69,508 | EMA9=none VWAP=2.10 (-6.6%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.96 H=2.00 L=1.95 C=1.97 V=27,997 | EMA9=none VWAP=2.10 (-6.1%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.96 H=1.97 L=1.85 C=1.88 V=93,947 | EMA9=none VWAP=2.09 (-10.0%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.90 H=1.92 L=1.86 C=1.89 V=52,274 | EMA9=none VWAP=2.09 (-9.4%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.89 H=1.92 L=1.88 C=1.90 V=23,130 | EMA9=none VWAP=2.08 (-8.7%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.91 H=2.02 L=1.90 C=1.99 V=63,483 | EMA9=none VWAP=2.08 (-4.3%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=2.01 H=2.02 L=1.94 C=1.96 V=34,401 | EMA9=none VWAP=2.08 (-5.7%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.96 H=1.98 L=1.94 C=1.96 V=24,384 | EMA9=none VWAP=2.08 (-5.7%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.96 H=1.98 L=1.95 C=1.97 V=12,301 | EMA9=none VWAP=2.08 (-5.2%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.96 H=1.98 L=1.92 C=1.93 V=29,999 | EMA9=none VWAP=2.08 (-7.1%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.93 H=1.96 L=1.88 C=1.89 V=32,092 | EMA9=none VWAP=2.07 (-8.9%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.89 H=1.89 L=1.79 C=1.87 V=92,163 | EMA9=none VWAP=2.07 (-9.7%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.87 H=1.88 L=1.81 C=1.81 V=42,238 | EMA9=none VWAP=2.06 (-12.3%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.82 H=1.88 L=1.81 C=1.82 V=17,738 | EMA9=none VWAP=2.06 (-11.8%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.83 H=1.84 L=1.77 C=1.83 V=46,272 | EMA9=none VWAP=2.06 (-11.1%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.83 H=1.86 L=1.80 C=1.86 V=30,187 | EMA9=none VWAP=2.06 (-9.5%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.84 H=1.89 L=1.84 C=1.87 V=21,809 | EMA9=none VWAP=2.05 (-9.0%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.87 H=1.89 L=1.84 C=1.85 V=17,200 | EMA9=none VWAP=2.05 (-9.9%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.85 H=1.86 L=1.83 C=1.83 V=9,560 | EMA9=none VWAP=2.05 (-10.8%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.84 H=1.86 L=1.82 C=1.83 V=16,162 | EMA9=none VWAP=2.05 (-10.8%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.82 H=1.83 L=1.77 C=1.77 V=62,318 | EMA9=none VWAP=2.05 (-13.5%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.78 H=1.79 L=1.75 C=1.76 V=60,475 | EMA9=none VWAP=2.04 (-13.8%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.77 H=1.82 L=1.76 C=1.81 V=39,865 | EMA9=none VWAP=2.04 (-11.2%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.80 H=1.86 L=1.80 C=1.85 V=28,518 | EMA9=none VWAP=2.04 (-9.1%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.85 H=1.87 L=1.84 C=1.86 V=33,248 | EMA9=none VWAP=2.03 (-8.6%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.86 H=1.86 L=1.83 C=1.86 V=17,555 | EMA9=none VWAP=2.03 (-8.5%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.86 H=1.90 L=1.85 C=1.89 V=19,257 | EMA9=none VWAP=2.03 (-7.0%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.89 H=1.96 L=1.88 C=1.91 V=54,970 | EMA9=none VWAP=2.03 (-5.9%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.91 H=1.98 L=1.91 C=1.93 V=69,898 | EMA9=none VWAP=2.03 (-4.9%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.93 H=1.93 L=1.91 C=1.93 V=24,295 | EMA9=none VWAP=2.03 (-4.8%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.92 H=1.93 L=1.85 C=1.85 V=37,520 | EMA9=none VWAP=2.03 (-8.7%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.85 H=1.88 L=1.85 C=1.87 V=11,841 | EMA9=none VWAP=2.03 (-7.7%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.88 H=1.91 L=1.87 C=1.91 V=5,838 | EMA9=none VWAP=2.03 (-5.7%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.90 H=2.04 L=1.89 C=2.02 V=85,640 | EMA9=none VWAP=2.02 (-0.2%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=2.03 H=2.08 L=1.92 C=1.99 V=136,530 | EMA9=none VWAP=2.02 (-1.7%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.99 H=2.02 L=1.95 C=1.98 V=86,139 | EMA9=none VWAP=2.02 (-2.2%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.97 H=2.09 L=1.97 C=2.09 V=105,511 | EMA9=none VWAP=2.02 (+3.2%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=2.09 H=2.10 L=2.00 C=2.09 V=109,041 | EMA9=none VWAP=2.02 (+3.2%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=2.09 H=2.20 L=2.02 C=2.18 V=249,391 | EMA9=none VWAP=2.03 (+7.3%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=2.18 H=2.22 L=2.15 C=2.18 V=221,752 | EMA9=none VWAP=2.04 (+6.9%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=2.18 H=2.19 L=2.05 C=2.08 V=133,108 | EMA9=none VWAP=2.04 (+1.9%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=2.09 H=2.10 L=1.97 C=1.99 V=168,345 | EMA9=none VWAP=2.04 (-2.5%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.98 H=2.01 L=1.96 C=1.96 V=104,017 | EMA9=none VWAP=2.04 (-3.9%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.96 H=2.02 L=1.95 C=2.02 V=43,988 | EMA9=none VWAP=2.04 (-0.9%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=2.01 H=2.04 L=1.95 C=1.96 V=78,329 | EMA9=none VWAP=2.04 (-3.8%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.96 H=1.97 L=1.95 C=1.96 V=26,405 | EMA9=none VWAP=2.04 (-3.8%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.96 H=1.96 L=1.89 C=1.91 V=104,431 | EMA9=none VWAP=2.04 (-6.2%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.91 H=1.93 L=1.85 C=1.86 V=114,356 | EMA9=none VWAP=2.03 (-8.5%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
[12:40 ET] LNKS CHART | O=1.86 H=1.90 L=1.86 C=1.89 V=70,296 | EMA9=none VWAP=2.03 (-6.9%) HOD=2.47 PM_H=2.47 | MACD=N/A vol_ratio=0.0x avg_vol=0 bars=0 | sq=N/A armed=none
